### The result of the verage over time 
### d tau = 0.1875
### number of kessence update = 10
### initial time = 11.9322
### 1- tau	2- pi_k(x)	3-zeta(x)	 4-x
  82.9947	      nan	      nan	 (32 , 32 , 32) 
  83.1822	      nan	      nan	 (32 , 32 , 32) 
  83.3697	      nan	      nan	 (32 , 32 , 32) 
  83.5572	      nan	      nan	 (32 , 32 , 32) 
  83.7447	      nan	      nan	 (32 , 32 , 32) 
  83.9322	      nan	      nan	 (32 , 32 , 32) 
  84.1197	      nan	      nan	 (32 , 32 , 32) 
  84.3072	      nan	      nan	 (32 , 32 , 32) 
  84.4947	      nan	      nan	 (32 , 32 , 32) 
  84.6822	      nan	      nan	 (32 , 32 , 32) 
  84.8697	      nan	      nan	 (32 , 32 , 32) 
  85.0572	      nan	      nan	 (32 , 32 , 32) 
  85.2447	      nan	      nan	 (32 , 32 , 32) 
  85.4322	      nan	      nan	 (32 , 32 , 32) 
  85.6197	      nan	      nan	 (32 , 32 , 32) 
  85.8072	      nan	      nan	 (32 , 32 , 32) 
  85.9947	      nan	      nan	 (32 , 32 , 32) 
  86.1822	      nan	      nan	 (32 , 32 , 32) 
